dataset,p,m_from,m_to,change,height
KDDCup,2.0,1000,5000,1000→5000,1.408053138296412
Webspam,1.0,5,10,5→10,20.15577063949164
Webspam,1.0,10,50,10→50,10.113448764742385
Webspam,1.0,50,100,50→100,2.0066288032031383
Webspam,1.0,100,500,100→500,1.5158028696959593
Webspam,1.0,500,1000,500→1000,1.2699877580324814
Webspam,1.0,1000,5000,1000→5000,1.137170110020628
Webspam,1.3,5,10,5→10,54.94898296222655
Webspam,1.3,10,50,10→50,19.24209042013935
Webspam,1.3,50,100,50→100,2.4726513170436846
Webspam,1.3,100,500,100→500,1.698784146474452
Webspam,1.3,500,1000,500→1000,1.3590288450295096
Webspam,1.3,1000,5000,1000→5000,1.169876001965331
Webspam,1.5,5,10,5→10,112.25199787349814
Webspam,1.5,10,50,10→50,28.89331679215973
Webspam,1.5,50,100,50→100,2.874551524376731
Webspam,1.5,100,500,100→500,1.8318076158020573
Webspam,1.5,500,1000,500→1000,1.4192282105328027
Webspam,1.5,1000,5000,1000→5000,1.1970033321544644
Webspam,1.7,5,10,5→10,232.4086237409797
Webspam,1.7,10,50,10→50,42.520299250345936
Webspam,1.7,50,100,50→100,3.336965799910205
Webspam,1.7,100,500,100→500,2.011539868519423
Webspam,1.7,500,1000,500→1000,1.4803354128173456
Webspam,1.7,1000,5000,1000→5000,1.2437657764110999
Webspam,2.0,5,10,5→10,694.3937981005319
Webspam,2.0,10,50,10→50,76.38365793612407
Webspam,2.0,50,100,50→100,4.193038042462047
Webspam,2.0,100,500,100→500,2.4671376501255318
Webspam,2.0,500,1000,500→1000,1.5704361448319948
Webspam,2.0,1000,5000,1000→5000,1.3368020242708927
