dataset,p,c
Covertype,1.0,28.8461
Covertype,1.3,40.6211
Covertype,1.5,57.198
Covertype,1.7,63.6358
Covertype,2.0,1.0
Example2D,1.0,1.6697
Example2D,1.3,1.3819
Example2D,1.5,1.259
Example2D,1.7,1.1685
Example2D,2.0,1.0
Iris,1.0,1.8895
Iris,1.3,1.6023
Iris,1.5,1.3491
Iris,1.7,1.2249
Iris,2.0,1.0
KDDCup,1.0,5.5407
KDDCup,1.3,3.6891
KDDCup,1.5,3.4871
KDDCup,1.7,2.0359
KDDCup,2.0,1.0
Webspam,1.0,10.2512
Webspam,1.3,6.1333
Webspam,1.5,4.4214
Webspam,1.7,2.0187
Webspam,2.0,1.0
